functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,PBE band gap,μ,μĀ,μ𝐵 ̅,t
AgBaAuCdO6,Ag,3,Ba,2,0.59,-3.82,114.05,616.95,0.65,-1.38,0.52,1.41,0.51,2.89,55.88,69.83,Au,5,Cd,0.05,0.05,-5.71,11.20,878.90,0.21,-0.97,0.43,2.12,0.22,2.44,145.40,77.40,0.00,0.54,0.14,0.14,0.923
AgBaAuHgO6,Ag,3,Ba,2,0.59,-3.82,114.05,616.95,0.65,-1.38,0.52,1.41,0.51,2.89,55.88,69.83,Au,5,Hg,0.53,0.53,-6.29,58.45,948.55,0.14,-0.90,0.27,2.27,0.13,2.54,135.40,87.40,0.00,0.57,0.14,0.16,0.908
AgBaMoCdO6,Ag,3,Ba,2,0.59,-3.82,114.05,616.95,0.65,-1.38,0.52,1.41,0.51,2.89,55.88,69.83,Mo,5,Cd,0.71,0.71,-4.95,91.40,776.30,1.45,-2.63,0.24,1.93,0.25,2.47,70.00,2.00,0.00,0.56,0.14,0.12,0.915
AgBiO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Bi,5,Bi,0.00,0.00,-4.57,0.00,703.30,0.00,-0.69,0.00,2.02,0.00,2.00,0.00,91.30,0.00,0.54,0.00,0.00,0.946
AgBrO3,Ag,1,Ag,1,0.00,-4.41,0.00,731.00,0.00,-0.73,0.00,1.93,0.00,2.38,0.00,125.70,Br,5,Br,0.00,0.00,-7.86,0.00,1139.90,0.00,-0.50,0.00,2.96,0.00,1.20,0.00,324.70,0.15,0.44,0.00,0.00,1.012
AgCaRePtO6,Ag,3,Ca,2,0.32,-4.09,70.60,660.40,0.61,-1.34,0.46,1.46,0.31,2.69,61.67,64.04,Re,5,Pt,0.05,0.05,-5.33,54.05,814.35,2.33,-3.02,0.19,2.09,0.01,2.69,99.74,105.56,0.00,0.49,0.04,0.08,0.908
AgCdAuTaO6,Ag,2,Cd,2,0.63,-5.03,68.35,799.35,0.23,-0.96,0.12,1.81,0.08,2.30,96.85,28.85,Au,5,Ta,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.46,0.03,0.05,0.951
AgCdAuTiO6,Ag,2,Cd,2,0.63,-5.03,68.35,799.35,0.23,-0.96,0.12,1.81,0.08,2.30,96.85,28.85,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.00,0.44,0.03,0.04,0.963
AgCdReAuO6,Ag,2,Cd,2,0.63,-5.03,68.35,799.35,0.23,-0.96,0.12,1.81,0.08,2.30,96.85,28.85,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.02,0.51,0.03,0.10,0.919
AgCsReAuO6,Ag,3,Cs,1,1.15,-3.26,177.65,553.35,0.00,-0.73,0.57,1.36,0.97,3.34,40.10,85.60,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.51,0.23,0.10,0.988
